label,q,m5,L5,amp_ratio,amp_diff_max,amp_diff_mean,phase_diff_max,phase_diff_mean
GR,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0
KK_low,0.0002,0.02,10.0,0.999680328354271,1.2333551766126553e-11,5.4448292068355454e-12,5.691853509671736e-07,4.284258700895415e-07
KK_low_L5_20,0.0002,0.02,20.0,0.999680328354271,1.2333551766126553e-11,5.4448292068355454e-12,5.691853509671736e-07,4.284258700895415e-07
KK_mid,0.0005,0.05,10.0,0.9996779231290558,1.2426350017383823e-11,5.479125573593502e-12,5.64143943886531e-07,4.2674978336594977e-07
KK_mid_L5_25,0.0005,0.05,25.0,0.9996779231290558,1.2426350017383823e-11,5.479125573593502e-12,5.64143943886531e-07,4.2674978336594977e-07
KK_high,0.0008,0.1,10.0,0.9996693614577009,1.2756675894800601e-11,5.601291028585394e-12,5.46193159345538e-07,4.2077797789014487e-07
KK_strong,0.001,0.5,10.0,0.9994175744034337,2.247110853008641e-11,9.257391535565733e-12,3.248293888621738e-07,2.4090666659138144e-07
