label,peak_h_plus,phase_span
GR,6.389439889861437e-21,0.0006877163032400575
KK_low,6.3873973670965585e-21,0.0006873367092065432
KK_low_L5_20,6.3873973670965585e-21,0.0006873367092065432
KK_mid,6.3873819990546245e-21,0.0006873419271852683
KK_mid_L5_25,6.3873819990546245e-21,0.0006873419271852683
KK_high,6.387327294770146e-21,0.0006873605062646728
KK_strong,6.38571851652186e-21,0.0006879107308142959
